                                                            REPORTE DE LIBROS
========================================================================================================================================================================================================
     Codigo          TITULO                                                  AUTOR                                                       PRECIO
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   IIM5175       Diamantes y pedernales                                      Jose Maria Arguedas                                         30.23
   YDK7687       El otonio del patriarca                                     Gabriel Garcia Marquez                                      82.02
   ZOY6470       El viejo y el mar                                           Hernest Hemingway                                           68.01
   ETZ8565       Confesiones de una mascara                                  Yukio Mishima                                              175.68
   LQL0880       Contra el fascismo                                          Umberto Eco                                                 71.63
   VFZ9435       El olor de la Edad Media                                    Javier Traite                                               96.28
   SFZ1256       La Iliada                                                   Homero                                                     154.35
   EDQ0577       Las aventuras de Pinocho                                    Carlo Collodi                                               31.54
   YJI3961       Cien anios de soledad                                       Gabriel Garcia Marquez                                      99.35
   VPN5351       El Amante                                                   Ana Maria Moix                                             182.76
   PVS2464       Sapiens                                                     Yuval Noah Harari                                          148.82
   DVL7760       Falco                                                       Arturo Perez-Reverte                                        98.18
   QRH6838       Las cronicas de Narnia                                      C. S. Lewis                                                162.37
   LDL2628       Harry Potter y el caliz de fuego (Harry Potter 4)           J.K. Rowling                                               140.97
   SBU9053       Tierra arrasada                                             Alfredo Gonzalez Ruibal                                     53.71
   ZJM1292       El suenio del celta                                         Mario Vargas Llosa                                          66.03
   CRA4157       El forastero misterioso                                     Mark Twain                                                 234.14
   RII8346       Las dos Dianas                                              Alejandro Dumas                                             69.63
   JBR9372       El maestro de esgrima                                       Arturo Perez-Reverte                                         1.94
   NEO9165       Emperador de Roma                                           Mary Beard                                                 234.34
   TBZ2657       Olalla                                                      Robert Louis Stevenson                                      42.95
   IBP7411       Nunca                                                       Ken Follett                                                 68.15
   GPH1575       La gran aventura de los griegos                             Javier Negrete                                              11.18
   XIU2628       Cabo Trafalgar                                              Arturo Perez-Reverte                                        34.25
   DDT0017       Viaje al fin de la noche                                    Louis Ferdinand Celine                                     125.28
   ILG7766       Iliada                                                      Homero                                                     296.63
   HGQ0131       Odisea                                                      Homero                                                      62.13
   HLB4548       Frankenstein o el moderno Prometeo                          Mary W. Shelley                                            118.29
   SQB7146       Cronica de una muerte anunciada                             Gabriel Garcia Marquez                                      83.99
   VHK9148       Historia y cronologia del mundo                             Isaac Asimov                                                14.07
   MVU0233       La conspiracioni                                            Dan Brown                                                  192.02
   KWL0415       1923                                                        Roberto Villa Garcia                                        78.57
   WPU8819       Tristam Shandy                                              Laurence Sterne                                             59.08
   JTX5687       Veinte mil leguas de viaje submarino                        Julio Verne                                                 72.66
   HCT8192       Diario                                                      Ana FranK                                                   99.10
   OMN0252       Los hermanos Karamazov                                      Fiodor Dostoyevski                                         241.73
   CKC4095       El Gran Gatsby                                              F. Scott Fitzgerald                                         32.40
   JLQ6546       El retorno del Rey                                          J.R.R.Tolkien                                               48.76
   MSW8176       Todo se desmorona                                           Chinua Achebe                                               37.03
   TDY0497       La chica del tren                                           Paula Hawkins                                               62.79
   NBL8415       Espania con honra                                           Daniel Aquillue                                            252.00
   IMC3155       Los pilares de la tierra                                    Ken Follett                                                182.44
   FWK6327       El doble                                                    Fiodor Dostoyevski                                         109.19
   GQC1814       Apocalipticos e integrados                                  Umberto Eco                                                  1.08
   PRD1648       Relato de un naufrago                                       Gabriel Garcia Marquez                                      71.86
   SBF7018       El handicap de la vida                                      Rudyard Kipling                                             71.69
   LVP3355       Las aventuras de Sherlock Holmes                            Arthur Conan Doyle                                          50.40
   FBO8724       El pendulo de Foucault                                      Umberto Eco                                                104.07
   WCZ0845       El cementerio de Praga                                      Umberto Eco                                                154.00
   WOF6634       El problema final                                           Arturo Perez-Reverte                                       174.46
   CUV7849       Ficciones                                                   Jorge Luis Borges                                          255.52
   VMW6915       Travesuras de la ninia mala                                 Mario Vargas Llosa                                         292.26
   MBQ9495       Tormenta de espadas                                         George R.R.Martin                                          202.58
   LQA8555       Rimas y leyendas                                            Gustavo Adolfo Becquer                                     248.74
   IMK4892       La tabla de Flandes                                         Arturo Perez-Reverte                                       272.34
   QCA9584       Dr. Jekyll y Mr. Hyde                                       Robert Louis Stevenson                                     168.95
   XJT3661       Las aventuras de Tom Sawye                                  Mark Twain                                                  36.07
   THT4126       Harry Potter y las reliquias de la muerte (Harry Potter 7)  J. K. Rowling                                              195.13
   PZP7176       La caida de los gigantes                                    Ken Follett                                                 15.93
   UQL8643       Dracula                                                     Bram Stoker                                                 15.12
   RLQ7170       El tango de la guardia vieja                                Arturo Perez-Reverte                                       114.29
   KTA8754       Ulises                                                      James Joyce                                                 37.22
   TOJ1764       Ensayo sobre la ceguera                                     Jose Saramago                                              154.27
   GWE4133       El gato negro y otros cuentos                               Edgar Allan Poe                                            298.03
   ZPD6557       El ruido y la furia                                         William Faulkner                                           267.59
   IUG2294       El proceso                                                  Franz Kafka                                                129.10
   WGA2754       El club Dumas                                               Arturo Perez-Reverte                                       124.58
   YJE2497       Progreso del peregrino                                      John Bunyan                                                 88.79
   XCC4070       El italiano                                                 Arturo Perez-Reverte                                       111.54
   OBD2849       El invierno del mundo                                       Ken Follett                                                 76.39
   UCJ9882       El reino de este mundo                                      Alejo Carpentier                                            54.97
   QVU3526       Vidas intrepidas                                            Julio Albi de la Cuesta                                     49.89
   VTY5195       Un asunto de honor                                          Arturo Perez-Reverte                                       184.37
   FKK6524       Los renglones torcidos de Dios                              Torcuato Luca de Tena                                       55.95
   KPE7420       Jane Eyre                                                   Charlotte Brontë                                           288.51
   MWB2923       Mudlarking                                                  Lara Maiklem                                               195.24
